Company,Employees,Role,Location,StartingSalary,MinimumQualification,BachelorsDegree,BachelorsGrade,SQL,R,Python,Tableu,PowerBI,Excel,,,
Malaberg,33,Data Analyst,London,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
AND Digital,"1,702",Data Analyst,Birmingham,,,,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,,
Amey,"7,300",Data Analyst,Manchester,,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
NRG,85,Data Analyst,Birmingham,"35,000.00",,,,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,,,
NewDay,"1,143",Data Analyst,Leeds,,,,,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,,
Cirium,396,Data Analyst,London,,Bachelors,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,,,
EssenceMediacom,"10,617",Junior Data Operations Analyst,London,,,,,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,,,
be:technology,,Data Analyst,,"30,000.00",,,,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,,,
hackajob,,Data Analyst,,,,,,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,,,
Aviva,"22,210",Data Analyst,Eastleigh,"30,000.00",Bachelors,STEM,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,
RSM UK,"4,993",Data Analyst,Preston,,,,,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,,
Wunderman Thompson,"7,538",EMEA Data Analyst,London,,,,,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,,
Zachary Daniels,,Data Analyst,,,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
RLDatix,"1,059",Data Analyst,England,,,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,,,
Irwin Mitchell ,"2,803",Data and Insights Analyst,England,,,,,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,,,
Trinny London,221,Data Analyst,London,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Amnesty International,"3,522",Data Analyst,London,"44,682.00",,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,,,
Nonstop Consulting Ltd,,Data Analyst,London,,,,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,
